Abbreviation	Description	Reaction	GPR	Genes	Proteins	Subsystem	Reversible	Lower bound	Upper bound	Objective	Confidence Score	EC Number	Notes	References
r_1223	L-tyrosine transport	C00080[x] + C00082[x]  <=> C00080[c] + C00082[c] 	(YKR039W OR YBR068C OR YOL020W OR YBR069C OR YDR046C OR YCL025C)	YBR068C YBR069C YCL025C YDR046C YKR039W YOL020W			1	-1000	1000	0				
r_1224	L-valine transport	C00080[x] + C00183[x]  <=> C00080[c] + C00183[c] 	(YDR046C OR YKR039W OR YBR068C OR YCL025C OR YBR069C)	YBR068C YBR069C YCL025C YDR046C YKR039W			1	-1000	1000	0				
r_1225	lanosterol transport	C01724[x]  <=> C01724[c] 	(YOR011W OR YIL013C)	YIL013C YOR011W			1	0	0	0				
r_1226	malate transport	C00149[c] + C00009[m]  <=> C00149[m] + C00009[c] 	YLR348C	YLR348C			1	0	1000	0				
r_1227	maltose transport	C00080[x] + C00208[x]  <=> C00080[c] + C00208[c] 	(YGR289C OR YBR298C OR YDL247W OR YJR160C)	YBR298C YDL247W YGR289C YJR160C			1	0	1000	0				
r_1228	N,N'-diformyldityrosine transport	s_1185[c]  <=> s_1186[x] 	YBR180W	YBR180W			1	0	1000	0				
r_1229	NAD transport	C00003[c]  <=> C00003[m] 	(YEL006W OR YIL006W)	YEL006W YIL006W			1	0	1000	0				
r_1230	NAD transport	C00360[m] + C00003[c]  <=> C00360[c] + C00003[m] 	YIL006W	YIL006W			1	0	1000	0				
r_1231	NAD transport	C00020[m] + C00003[c]  <=> C00020[c] + C00003[m] 	YIL006W	YIL006W			1	0	1000	0				
r_1232	NAD transport	C00362[m] + C00003[c]  <=> C00362[c] + C00003[m] 	YIL006W	YIL006W			1	0	1000	0				
r_1235	nicotinate transport	C00253[x]  <=> C00253[c] 	YGR260W	YGR260W			1	-1000	1000	0				
r_1236	octadecanoate (n-C18:0) transport	C01530[c]  <=> C01530[p] 					1	-1000	1000	0				
r_1237	ornithine transport	C00080[c] + C01602[m]  <=> C00080[m] + C01602[c] 	(YOR130C OR BAC1)	YOR130C BAC1			1	0	1000	0				21190580
r_1238	orntithine transport	C00080[x] + C01602[x]  <=> C00080[c] + C01602[c] 	(YKR039W OR YEL063C)	YEL063C YKR039W			1	-1000	1000	0				
r_1239	oxaloacetate transport	C00080[c] + C00036[c]  <=> C00080[m] + C00036[m] 	YKL120W	YKL120W			1	0	1000	0				
r_1241	pantothenate transport	C00864[x] + C00080[x]  <=> C00864[c] + C00080[c] 	YCR028C	YCR028C			1	-1000	1000	0				
r_1242	pentaprenyl diphosphate transport	C04217[c]  <=> C04217[m] 					1	-1000	1000	0				
r_1243	phenethyl acetate transport	C12303[c]  <=> C12303[x] 					1	0	1000	0				
r_1244	phosphate transport	C00080[x] + C00009[x]  <=> C00080[c] + C00009[c] 	(YJL198W OR YBR296C OR YML123C OR YNR013C OR YCR037C)	YBR296C YCR037C YJL198W YML123C YNR013C			1	-1000	1000	0				
r_1245	phosphate transport	C00080[c] + C00009[c]  <=> C00080[m] + C00009[m] 	(YJR077C OR YER053C)	YER053C YJR077C			1	0	1000	0				
r_1249	potassium transport	C00080[x] + C00238[x]  <=> C00080[c] + C00238[c] 	YJL129C	YJL129C			1	-1000	1000	0				
r_1250	putrescine excretion	C00134[c]  <=> C00134[x] 	YKL174C	YKL174C			1	0	1000	0				
r_1251	putrescine transport	C00080[c] + C00134[x]  <=> C00080[x] + C00134[c] 	(YOR273C OR YLL028W)	YLL028W YOR273C			1	-1000	1000	0				
r_1252	putrescine transport	C00080[v] + C00134[c]  <=> C00080[c] + C00134[v] 	(YOR273C OR YLL028W)	YLL028W YOR273C			1	-1000	1000	0				
r_1253	pyridoxine symport	C00080[x] + C00314[x]  <=> C00080[c] + C00314[c] 	YGL186C	YGL186C			1	-1000	1000	0				
r_1254	pyruvate transport	C00080[x] + C00022[x]  <=> C00080[c] + C00022[c] 	YKL217W	YKL217W			1	-1000	1000	0				
r_1255	S-adenosyl-L-methionine transport	C00080[x] + C00019[x]  <=> C00080[c] + C00019[c] 	YPL274W	YPL274W			1	0	1000	0				
r_1256	S-adenosyl-L-methionine transport	C00019[c]  <=> C00019[m] 	YNL003C	YNL003C			1	-1000	1000	0				
r_1257	S-methylmethionine permease	C00080[x] + C03172[x]  <=> C00080[c] + C03172[c] 	YLL061W	YLL061W			1	0	1000	0				
r_1258	sodium proton antiporter	C00080[x] + C01330[c]  <=> C00080[c] + C01330[x] 	YLR138W	YLR138W			1	-1000	1000	0				
r_1259	spermidine excretion	C00315[c]  <=> C00315[x] 	YKL174C	YKL174C			1	0	1000	0				
r_1260	spermidine transport	C00080[c] + C00315[x]  <=> C00080[x] + C00315[c] 	(YOR273C OR YBR132C OR YKR039W OR YHL016C OR YPL274W OR YLL028W)	YBR132C YHL016C YKR039W YLL028W YOR273C YPL274W			1	-1000	1000	0				
r_1261	spermidine transport	C00080[v] + C00315[c]  <=> C00080[c] + C00315[v] 	(YOR273C OR YLL028W)	YLL028W YOR273C			1	-1000	1000	0				
r_1262	spermine transport	C00080[c] + C00750[x]  <=> C00080[x] + C00750[c] 	(YPR156C OR YGR138C OR YOR273C OR YLL028W)	YGR138C YLL028W YOR273C YPR156C			1	-1000	1000	0				
r_1263	spermine transport	C00080[v] + C00750[c]  <=> C00080[c] + C00750[v] 	(YPR156C OR YGR138C OR YOR273C OR YLL028W)	YGR138C YLL028W YOR273C YPR156C			1	-1000	1000	0				
r_1264	succinate transport	C00009[m] + C00042[c]  <=> C00009[c] + C00042[m] 	YLR348C	YLR348C			1	0	1000	0				
r_1265	succinate-fumarate transport	C00122[m] + C00042[c]  <=> C00122[c] + C00042[m] 	YJR095W	YJR095W			1	0	1000	0				
r_1266	sulfate uniport	s_1468[x]  <=> s_1467[c] 	(YBR294W OR YLR092W)	YBR294W YLR092W			1	0	1000	0				
r_1267	sulfite transport	C00094[c]  <=> C00094[x] 	YPL092W	YPL092W			1	0	1000	0				
r_1268	taurine transport	C00245[c]  <=> C00245[x] 					1	-1000	1000	0				
r_1269	thiamine diphosphate transport	C00363[c]  <=> C00363[m] 	YGR096W	YGR096W			1	0	1000	0				
r_1270	thiamine transport	C00080[x] + C00378[x]  <=> C00080[c] + C00378[c] 	(YLR237W OR YOR192C OR YOR071C)	YLR237W YOR071C YOR192C			1	0	1000	0				
r_1271	UDPgalactose transport	C00052[c]  <=> C00052[g] 	YPL244C	YPL244C			1	0	1000	0				
r_1272	uracil transport	C00080[x] + C00106[x]  <=> C00080[c] + C00106[c] 	YBR021W	YBR021W			1	0	1000	0				
r_1273	urea transport	2 C00080[x] + C00086[x]  <=> 2 C00080[c] + C00086[c] 	YHL016C	YHL016C			1	-1000	1000	0				
r_1274	uridine transport	C00080[x] + C00299[x]  <=> C00080[c] + C00299[c] 	YBL042C	YBL042C			1	0	1000	0				
r_1275	UTP transport	C00061[m] + C00080[c] + C00105[m] + C00075[c]  <=> C00061[c] + C00080[m] + C00105[c] + C00075[m] 	YBR192W	YBR192W			1	0	1000	0				
r_1276	UTP/UMP antiport	2 C00080[c] + C00105[m] + C00075[c]  <=> 2 C00080[m] + C00105[c] + C00075[m] 	YBR192W	YBR192W			1	0	1000	0				
r_1277	water diffusion	C00001[x]  <=> C00001[c] 	(YLL052C OR YPR192W)	YLL052C YPR192W			1	-1000	1000	0				
r_1278	zymosterol transport	C05437[x]  <=> C05437[o] 	(YOR011W OR YIL013C)	YIL013C YOR011W			1	-1000	1000	0				
r_1357	isa complex sphingolipid	s_0892[g]  -> 0.80645 s_0536[g] 					0	0	1000	0				
r_1358	isa complex sphingolipid	s_1114[g]  -> 0.90323 s_0536[g] 					0	0	1000	0				
r_1359	isa complex sphingolipid	s_0859[g]  -> s_0536[g] 					0	0	1000	0				
r_1360	isa complex sphingolipid	s_0893[m]  -> 0.80645 s_0537[m] 					0	0	1000	0				
r_1361	isa complex sphingolipid	s_1115[m]  -> 0.90323 s_0537[m] 					0	0	1000	0				
r_1362	isa complex sphingolipid	s_0860[m]  -> s_0537[m] 					0	0	1000	0				
r_1363	isa dolichol	s_1483[l]  -> 0.63636 C00381[l] 					0	0	1000	0				
r_1364	isa dolichol	s_1310[l]  -> 0.68182 C00381[l] 					0	0	1000	0				
r_1365	isa dolichol	s_0829[l]  -> 0.72727 C00381[l] 					0	0	1000	0				
r_1366	isa dolichol	s_0814[l]  -> 0.77273 C00381[l] 					0	0	1000	0				
r_1367	isa dolichol	s_1246[l]  -> 0.81818 C00381[l] 					0	0	1000	0				
r_1368	isa dolichol	s_1229[l]  -> 0.86364 C00381[l] 					0	0	1000	0				
r_1369	isa dolichol	s_0845[l]  -> 0.90909 C00381[l] 					0	0	1000	0				
r_1370	isa dolichol	s_0813[l]  -> 0.95455 C00381[l] 					0	0	1000	0				
r_1371	isa dolichol	s_0640[l]  -> C00381[l] 					0	0	1000	0				
r_1449	isa IPC	s_0907[g]  -> 0.96 s_0892[g] 					0	0	1000	0				
r_1450	isa IPC	s_0910[g]  -> s_0892[g] 					0	0	1000	0				
r_1451	isa IPC	s_0913[g]  -> 0.96 s_0892[g] 					0	0	1000	0				
r_1452	isa IPC	s_0916[g]  -> s_0892[g] 					0	0	1000	0				
r_1453	isa IPC	s_0895[g]  -> 0.96 s_0892[g] 					0	0	1000	0				
r_1454	isa IPC	s_0898[g]  -> s_0892[g] 					0	0	1000	0				
r_1455	isa IPC	s_0901[g]  -> 0.96 s_0892[g] 					0	0	1000	0				
r_1456	isa IPC	s_0904[g]  -> s_0892[g] 					0	0	1000	0				
r_1457	isa IPC	s_0919[g]  -> 0.96 s_0892[g] 					0	0	1000	0				
r_1458	isa IPC	s_0922[g]  -> s_0892[g] 					0	0	1000	0				
r_1459	isa IPC	s_0906[e]  -> 0.96 s_0891[e] 					0	0	1000	0				
r_1460	isa IPC	s_0909[e]  -> s_0891[e] 					0	0	1000	0				
r_1461	isa IPC	s_0912[e]  -> 0.96 s_0891[e] 					0	0	1000	0				
r_1462	isa IPC	s_0915[e]  -> s_0891[e] 					0	0	1000	0				
r_1463	isa IPC	s_0894[e]  -> 0.96 s_0891[e] 					0	0	1000	0				
r_1464	isa IPC	s_0897[e]  -> s_0891[e] 					0	0	1000	0				
r_1465	isa IPC	s_0900[e]  -> 0.96 s_0891[e] 					0	0	1000	0				
r_1466	isa IPC	s_0903[e]  -> s_0891[e] 					0	0	1000	0				
r_1467	isa IPC	s_0918[e]  -> 0.96 s_0891[e] 					0	0	1000	0				
r_1468	isa IPC	s_0921[e]  -> s_0891[e] 					0	0	1000	0				
r_1469	isa IPC	s_0908[m]  -> 0.96 s_0893[m] 					0	0	1000	0				
r_1470	isa IPC	s_0911[m]  -> s_0893[m] 					0	0	1000	0				
r_1471	isa IPC	s_0914[m]  -> 0.96 s_0893[m] 					0	0	1000	0				
r_1472	isa IPC	s_0917[m]  -> s_0893[m] 					0	0	1000	0				
r_1473	isa IPC	s_0896[m]  -> 0.96 s_0893[m] 					0	0	1000	0				
r_1474	isa IPC	s_0899[m]  -> s_0893[m] 					0	0	1000	0				
r_1475	isa IPC	s_0902[m]  -> 0.96 s_0893[m] 					0	0	1000	0				
r_1476	isa IPC	s_0905[m]  -> s_0893[m] 					0	0	1000	0				
r_1477	isa IPC	s_0920[m]  -> 0.96 s_0893[m] 					0	0	1000	0				
r_1478	isa IPC	s_0923[m]  -> s_0893[m] 					0	0	1000	0				
r_1479	isa M(IP)2C	s_0862[g]  -> 0.96774 s_0859[g] 					0	0	1000	0				
r_1480	isa M(IP)2C	s_0865[g]  -> s_0859[g] 					0	0	1000	0				
r_1481	isa M(IP)2C	s_0874[g]  -> 0.96774 s_0859[g] 					0	0	1000	0				
r_1482	isa M(IP)2C	s_0877[g]  -> s_0859[g] 					0	0	1000	0				
r_1483	isa M(IP)2C	s_0868[g]  -> 0.96774 s_0859[g] 					0	0	1000	0				
r_1484	isa M(IP)2C	s_0871[g]  -> s_0859[g] 					0	0	1000	0				
r_1485	isa M(IP)2C	s_0880[g]  -> 0.96774 s_0859[g] 					0	0	1000	0				
r_1486	isa M(IP)2C	s_0883[g]  -> s_0859[g] 					0	0	1000	0				
r_1487	isa M(IP)2C	s_0886[g]  -> 0.96774 s_0859[g] 					0	0	1000	0				
r_1488	isa M(IP)2C	s_0889[g]  -> s_0859[g] 					0	0	1000	0				
r_1489	isa M(IP)2C	s_0861[e]  -> 0.96774 s_0858[e] 					0	0	1000	0				
r_1490	isa M(IP)2C	s_0864[e]  -> s_0858[e] 					0	0	1000	0				
r_1491	isa M(IP)2C	s_0873[e]  -> 0.96774 s_0858[e] 					0	0	1000	0				
r_1492	isa M(IP)2C	s_0876[e]  -> s_0858[e] 					0	0	1000	0				
r_1493	isa M(IP)2C	s_0867[e]  -> 0.96774 s_0858[e] 					0	0	1000	0				
r_1494	isa M(IP)2C	s_0870[e]  -> s_0858[e] 					0	0	1000	0				
r_1495	isa M(IP)2C	s_0879[e]  -> 0.96774 s_0858[e] 					0	0	1000	0				
r_1496	isa M(IP)2C	s_0882[e]  -> s_0858[e] 					0	0	1000	0				
r_1497	isa M(IP)2C	s_0885[e]  -> 0.96774 s_0858[e] 					0	0	1000	0				
r_1498	isa M(IP)2C	s_0888[e]  -> s_0858[e] 					0	0	1000	0				
r_1499	isa M(IP)2C	s_0863[m]  -> 0.96774 s_0860[m] 					0	0	1000	0				
r_1500	isa M(IP)2C	s_0866[m]  -> s_0860[m] 					0	0	1000	0				
r_1501	isa M(IP)2C	s_0875[m]  -> 0.96774 s_0860[m] 					0	0	1000	0				
r_1502	isa M(IP)2C	s_0878[m]  -> s_0860[m] 					0	0	1000	0				
r_1503	isa M(IP)2C	s_0869[m]  -> 0.96774 s_0860[m] 					0	0	1000	0				
r_1504	isa M(IP)2C	s_0872[m]  -> s_0860[m] 					0	0	1000	0				
r_1505	isa M(IP)2C	s_0881[m]  -> 0.96774 s_0860[m] 					0	0	1000	0				
r_1506	isa M(IP)2C	s_0884[m]  -> s_0860[m] 					0	0	1000	0				
r_1507	isa M(IP)2C	s_0887[m]  -> 0.96774 s_0860[m] 					0	0	1000	0				
r_1508	isa M(IP)2C	s_0890[m]  -> s_0860[m] 					0	0	1000	0				
r_1509	isa MIPC	s_1129[g]  -> 0.96429 s_1114[g] 					0	0	1000	0				
r_1510	isa MIPC	s_1132[g]  -> s_1114[g] 					0	0	1000	0				
r_1511	isa MIPC	s_1135[g]  -> 0.96429 s_1114[g] 					0	0	1000	0				
r_1512	isa MIPC	s_1138[g]  -> s_1114[g] 					0	0	1000	0				
r_1513	isa MIPC	s_1117[g]  -> 0.96429 s_1114[g] 					0	0	1000	0				
r_1514	isa MIPC	s_1120[g]  -> s_1114[g] 					0	0	1000	0				
r_1515	isa MIPC	s_1123[g]  -> 0.96429 s_1114[g] 					0	0	1000	0				
r_1516	isa MIPC	s_1126[g]  -> s_1114[g] 					0	0	1000	0				
r_1517	isa MIPC	s_1141[g]  -> 0.96429 s_1114[g] 					0	0	1000	0				
r_1518	isa MIPC	s_1144[g]  -> s_1114[g] 					0	0	1000	0				
r_1519	isa MIPC	s_1128[e]  -> 0.96429 s_1113[e] 					0	0	1000	0				
r_1520	isa MIPC	s_1131[e]  -> s_1113[e] 					0	0	1000	0				
r_1521	isa MIPC	s_1134[e]  -> 0.96429 s_1113[e] 					0	0	1000	0				
r_1522	isa MIPC	s_1137[e]  -> s_1113[e] 					0	0	1000	0				
r_1523	isa MIPC	s_1116[e]  -> 0.96429 s_1113[e] 					0	0	1000	0				
r_1524	isa MIPC	s_1119[e]  -> s_1113[e] 					0	0	1000	0				
r_1525	isa MIPC	s_1122[e]  -> 0.96429 s_1113[e] 					0	0	1000	0				
r_1526	isa MIPC	s_1125[e]  -> s_1113[e] 					0	0	1000	0				
r_1527	isa MIPC	s_1140[e]  -> 0.96429 s_1113[e] 					0	0	1000	0				
r_1528	isa MIPC	s_1143[e]  -> s_1113[e] 					0	0	1000	0				
r_1529	isa MIPC	s_1130[m]  -> 0.96429 s_1115[m] 					0	0	1000	0				
r_1530	isa MIPC	s_1133[m]  -> s_1115[m] 					0	0	1000	0				
r_1531	isa MIPC	s_1136[m]  -> 0.96429 s_1115[m] 					0	0	1000	0				
r_1532	isa MIPC	s_1139[m]  -> s_1115[m] 					0	0	1000	0				
r_1533	isa MIPC	s_1118[m]  -> 0.96429 s_1115[m] 					0	0	1000	0				
r_1534	isa MIPC	s_1121[m]  -> s_1115[m] 					0	0	1000	0				
r_1535	isa MIPC	s_1124[m]  -> 0.96429 s_1115[m] 					0	0	1000	0				
r_1536	isa MIPC	s_1127[m]  -> s_1115[m] 					0	0	1000	0				
r_1537	isa MIPC	s_1142[m]  -> 0.96429 s_1115[m] 					0	0	1000	0				
r_1538	isa MIPC	s_1145[m]  -> s_1115[m] 					0	0	1000	0				
r_1542	(1->3)-beta-D-glucan exchange	C00965[x]  <=> 					1	0	1000	0				
r_1543	(1->3)-beta-D-glucan transport	C00965[x]  <=> C00965[c] 					1	-1000	1000	0				
r_1545	(R)-carnitine exchange	C00318[x]  <=> 					1	0	1000	0				
r_1546	(R)-lactate exchange	C00256[x]  <=> 					1	0	1000	0				
r_1547	(R)-mevalonate exchange	C00418[x]  <=> 					1	0	1000	0				
r_1548	(R)-pantothenate exchange	C00864[x]  <=> 					1	-0.5	1000	0				
r_1549	(R,R)-2,3-butanediol exchange	C03044[x]  <=> 					1	0	1000	0				
r_1550	(S)-3-methyl-2-oxopentanoate exchange	C00671[x]  <=> 					1	0	1000	0				
r_1551	(S)-lactate exchange	C00186[x]  <=> 					1	0	1000	0				
r_1552	(S)-malate exchange	C00149[x]  <=> 					1	0	1000	0				
r_1553	1-(sn-glycero-3-phospho)-1D-myo-inositol exchange	C01225[x]  <=> 					1	-0.5	1000	0				
r_1554	1-acylglycerophosphocholine exchange	C04230[x]  <=> 					1	0	1000	0				
r_1560	1D-myo-inositol 1,3,4,5,6-pentakisphosphate diffusion	C01284[c]  <=> C01284[n] 					1	-1000	1000	0				
r_1562	1D-myo-inositol 1-phosphate transport	C01177[e]  <=> C01177[c] 					1	-1000	1000	0				
r_1563	2'-deoxyadenosine exchange	C00559[x]  <=> 					1	0	1000	0				
r_1564	2'-deoxyguanosine exchange	C00330[x]  <=> 					1	0	1000	0				
r_1565	2'-deoxyinosine exchange	C05512[x]  <=> 					1	0	1000	0				
r_1566	2'-deoxyuridine exchange	C00526[x]  <=> 					1	0	1000	0				
r_1567	2-dehydro-3-deoxy-D-arabino-heptonate7-phohsphate transport	s_0349[c]  <=> s_0350[m] 					1	-1000	1000	0				
r_1568	2-dehydropantoate transport	C00966[c]  <=> C00966[m] 					1	-1000	1000	0				
r_1572	2-isopropylmalate exchange	C02504[x]  <=> 					1	0	1000	0				
r_1573	2-isopropylmalate transport	C02504[c]  <=> C02504[x] 					1	-1000	1000	0				
r_1574	2-isopropylmalate transport	C02504[c]  <=> C02504[m] 					1	-1000	1000	0				
r_1575	2-methyl-1-butanol transport	cpd16873[c]  <=> cpd16873[x] 					1	-1000	1000	0				
r_1576	2-methyl-1-butanol transport	cpd16873[c]  <=> cpd16873[m] 					1	-1000	1000	0				
r_1577	2-methylbutanal exchange	C02223[x]  <=> 					1	0	1000	0				
r_1578	2-methylbutanal transport	C02223[c]  <=> C02223[x] 					1	-1000	1000	0				
r_1579	2-methylbutanal transport	C02223[c]  <=> C02223[m] 					1	-1000	1000	0				
r_1580	2-methylbutanol exchange	cpd16873[x]  <=> 					1	0	1000	0				
r_1581	2-methylbutyl acetate exchange	cpd16872[x]  <=> 					1	0	1000	0				
r_1582	2-methylpropanal transport	cpd16874[c]  <=> cpd16874[x] 					1	-1000	1000	0				
r_1583	2-methylpropanal transport	cpd16874[c]  <=> cpd16874[m] 					1	-1000	1000	0				
r_1585	2-oxobutanoate transporter	C00109[c]  <=> C00109[m] 					1	-1000	1000	0				
r_1586	2-oxoglutarate exchange	C00026[x]  <=> 					1	0	1000	0				
r_1587	2-oxoglutarate transport	C00026[c]  <=> C00026[n] 					1	-1000	1000	0				
r_1588	2-oxoglutarate transport	C00026[x]  <=> C00026[c] 					1	-1000	1000	0				
r_1589	2-phenylethanol exchange	C05853[x]  <=> 					1	0	1000	0				
r_1590	2-phenylethanol transport	C05853[x]  <=> C05853[c] 					1	-1000	1000	0				
r_1591	2-phenylethanol transport	C05853[m]  <=> C05853[c] 					1	-1000	1000	0				
r_1595	3-carboxy-4-methyl-2-oxopentanoate transport	C04236[c]  <=> C04236[m] 					1	-1000	1000	0				
r_1596	3-methyl-2-oxopentanoate transport	C00671[c]  <=> C00671[m] 					1	-1000	1000	0				
r_1597	3-methyl-oxopentanoate trasport	C00671[x]  <=> C00671[c] 					1	-1000	1000	0				
r_1598	3-methylbutanal exchange	C07329[x]  <=> 					1	0	1000	0				
r_1599	3-methylbutanal transport	C07329[c]  <=> C07329[x] 					1	-1000	1000	0				
r_1600	3-methylbutanal transport	C07329[c]  <=> C07329[m] 					1	-1000	1000	0				
r_1601	3-octaprenyl-4-hydroxybenzoate transport	C13425[c]  <=> C13425[m] 					1	-1000	1000	0				
r_1603	4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase	C03373[c] + 2 C00080[c]  <=> C01279[c] + C00266[c] + C00009[c] 	YGL234W	YGL234W			1	0	1000	0				3097325
r_1604	4-aminobenzoate exchange	C00568[x]  <=> 					1	-0.5	1000	0				
r_1605	4-aminobenzoate transport	C00568[c]  <=> C00568[x] 					1	-1000	1000	0				
r_1606	4-aminobenzoate transport	C00568[c]  <=> C00568[m] 					1	-1000	1000	0				
r_1607	4-aminobutanal transport	C00555[c]  <=> C00555[m] 					1	-1000	1000	0				
r_1608	4-aminobutyrate transport	C00334[c]  <=> C00334[m] 					1	-1000	1000	0				
r_1609	4-hydroxy-2-oxoglutarate transport	C01127[c]  <=> C01127[m] 					1	-1000	1000	0				
r_1610	4-hydroxy-2-oxoglutarate transport	C01127[c]  <=> C01127[p] 					1	-1000	1000	0				
r_1611	4-hydroxybenzoate transport	C00156[c]  <=> C00156[m] 					1	-1000	1000	0				
r_1613	5'-nucleotidase (AMP)	C00020[c] + C00001[c]  <=> C00212[c] + C00009[c] 					1	0	1000	0				
r_1614	5'-nucleotidase (dAMP)	C00360[c] + C00001[c]  <=> C00559[c] + C00009[c] 					1	0	1000	0				
r_1615	5'-nucleotidase (dCMP)	C00239[c] + C00001[c]  <=> C00881[c] + C00009[c] 					1	0	1000	0				
r_1616	5'-nucleotidase (dGMP)	C00362[c] + C00001[c]  <=> C00330[c] + C00009[c] 					1	0	1000	0				
r_1617	5'-nucleotidase (dTMP)	C00364[c] + C00001[c]  <=> C00009[c] + C00214[c] 					1	0	1000	0				
r_1618	5'-nucleotidase (dUMP)	C00365[c] + C00001[c]  <=> C00526[c] + C00009[c] 					1	0	1000	0				
r_1619	5'-nucleotidase (GMP)	C00144[c] + C00001[c]  <=> C00387[c] + C00009[c] 	YER037W	YER037W			1	0	1000	0				
r_1620	5'-nucleotidase (XMP)	C00001[c] + C00655[c]  <=> C00009[c] + C01762[c] 					1	0	1000	0				
r_1621	5-aminolevulinate exchange	C00430[x]  <=> 					1	0	1000	0				
r_1622	5-aminolevulinate transport	C00430[c]  <=> C00430[m] 					1	-1000	1000	0				
r_1623	5-formethyltetrahydrofolate cyclo-ligase	C03479[m] + C00002[m]  <=> s_0305[m] + C00008[m] + C00009[m] 	YER183C	YER183C			1	0	1000	0				11923304
r_1624	5-formyltetrahydrofolate:10-formyltetrahydrofolate isomerase	C03479[c] + C00002[c] + C00001[c]  <=> C00234[c] + C00008[c] + C00080[c] + C00009[c] 	YER183C	YER183C			1	0	1000	0				11923304
r_1625	5-formyltetrahydrofolic acid exchange	C03479[x]  <=> 					1	0	1000	0				
r_1627	7,8-diaminononanoate exchange	C01037[x]  <=> 					1	0	1000	0				
r_1628	7,8-diaminononanoate transport	C01037[x]  <=> C01037[c] 					1	-1000	1000	0				
r_1629	8-amino-7-oxononanoate exchange	C01092[x]  <=> 					1	0	1000	0				
r_1630	9H-xanthine exchange	s_0358[x]  <=> 					1	0	1000	0				
r_1631	acetaldehyde exchange	C00084[x]  <=> 					1	0	1000	0				
r_1632	acetaldehyde transport	C00084[m]  <=> C00084[c] 					1	-1000	1000	0				
r_1633	acetaldehyde transport	C00084[x]  <=> C00084[c] 					1	-1000	1000	0				
r_1634	acetate exchange	C00033[x]  <=> 					1	0	1000	0				
r_1635	acetate transport	C00033[c]  <=> C00033[n] 					1	-1000	1000	0				
r_1637	acetyl-CoA transport	C00024[c]  <=> C00024[n] 					1	-1000	1000	0				
r_1638	acetylcarnitine transport	C02571[p]  <=> C02571[c] 					1	0	1000	0				
r_1639	adenine exchange	C00147[x]  <=> 					1	0	1000	0				
r_1640	adenine transport	C00147[c]  <=> C00147[m] 					1	-1000	1000	0				
r_1641	adenosine 3',5'-bismonophosphate exchange	s_0391[x]  <=> 					1	0	1000	0				
r_1642	adenosine 3',5'-bisphosphate transport	s_0390[c]  <=> s_0392[m] 					1	-1000	1000	0				
r_1643	adenosine exchange	C00212[x]  <=> 					1	0	1000	0				
r_1644	ADP transport	C00008[c]  <=> C00008[n] 					1	-1000	1000	0				
r_1645	ADP transport	C00008[c]  <=> C00008[e] 					1	-1000	1000	0				
r_1647	AKG transporter, peroxisome	C00026[c]  <=> C00026[p] 					1	-1000	1000	0				
r_1648	allantoate exchange	C00499[x]  <=> 					1	0	1000	0				
r_1649	allantoin exchange	C01551[x]  <=> 					1	0	1000	0				
r_1650	alpha,alpha-trehalose exchange	C01083[x]  <=> 					1	0	1000	0				
r_1651	alpha-D-glucosamine 6-phosphate exchange	s_0413[x]  <=> 					1	0	1000	0				
r_1652	alpha-ketoglutarate/malate transporter	C00149[x] + C00026[c]  <=> C00149[c] + C00026[x] 					1	-1000	1000	0				
r_1654	ammonium exchange	C01342[x]  <=> 					1	-1000	1000	0				
r_1656	AMP transport	C00020[n]  <=> C00020[c] 					1	-1000	1000	0				
r_1657	arginine transport	C00080[c] + C00062[c]  <=> C00080[m] + C00062[m] 					1	0	1000	0				
r_1658	asparagine transport	C00152[c]  <=> C00152[m] 					1	0	1000	0				
r_1659	aspartate-glutamate transporter	C00049[c] + C00025[p]  <=> C00049[p] + C00025[c] 					1	-1000	1000	0				
r_1660	ATP diffusion	C00002[c]  <=> C00002[n] 					1	-1000	1000	0				
r_1661	ATP transport	C00002[c]  <=> C00002[e] 					1	-1000	1000	0				
r_1663	bicarbonate exchange	C00288[x]  <=> 					1	0	1000	0				
r_1664	bicarbonate formation	C00011[m] + C00001[m]  <=> C00288[m] + C00080[m] 					1	-1000	1000	0				
r_1665	bicarbonate formation	C00011[n] + C00001[n]  <=> C00288[n] + C00080[n] 					1	-1000	1000	0				
r_1667	bicarbonate formation	C00011[c] + C00001[c]  <=> C00288[c] + C00080[c] 					1	-1000	1000	0				
r_1668	bicarbonate formation	C00011[x] + C00001[x]  <=> C00288[x] + C00080[x] 					1	-1000	1000	0				
r_1669	bicarbonate transport	C00288[c]  <=> C00288[n] 					1	-1000	1000	0				
r_1671	biotin exchange	C00120[x]  <=> 					1	-0.5	1000	0				
r_1672	carbon dioxide exchange	C00011[x]  <=> 					1	0	1000	0				
r_1673	carnitine transport	C00318[c]  <=> C00318[p] 					1	0	1000	0				
r_1674	carnitine-acetylcarnitine carrier	C00318[c] + C02571[p]  <=> C00318[p] + C02571[c] 					1	0	1000	0				
r_1675	CDP transport	C00112[c]  <=> C00112[n] 					1	-1000	1000	0				
r_1676	ceramide transport	s_0476[g]  <=> s_0475[e] 					1	-1000	1000	0				
r_1677	ceramide transport	s_0482[g]  <=> s_0481[e] 					1	-1000	1000	0				
