orgId	locusId	sysName	geneName	desc	set1IT078 Glucose (C) (40mM)	set1IT079 Glucose (C) (40mM)	set1IT080 Glucose (C) (20mM)	set1IT081 Glucose (C) (20mM)	set1IT082 4-Hydroxyvalerate (C) (40mM)	set1IT083 4-Hydroxyvalerate (C) (40mM)	set1IT084 Acetate Carbon Source (20mM)	set1IT085 Acetate Carbon Source (20mM)	set1IT086 Acetate Carbon Source (5mM)	set1IT087 Acetate Carbon Source (5mM)	set5IT075 D-Glucose (C)	set5IT076 D-Glucose (C)	set5IT081 Levulinic Acid (C)	set5IT082 Levulinic Acid (C)	set5IT083 Levulinic Acid (C)	set5IT084 Levulinic Acid (C)
Putida	PP_1009	PP_1009		glyceraldehyde-3-phosphate dehydrogenase	-0.394	-0.349	-0.652	-0.760	-0.039	0.090	-0.195	-0.061	0.364	-0.012	-0.474	-0.306	-0.130	-0.401	0.005	0.272
Putida	PP_1011	PP_1011		glucokinase	-0.618	-0.700	-0.626	-0.605	0.019	0.057	-0.237	0.064	-0.121	-0.044	-1.514	-1.484	-0.154	-0.007	0.013	0.106
Putida	PP_1012	PP_1012		DNA-binding response regulator	-0.603	-0.597	-0.243	-0.690	-0.021	-0.033	-0.314	-0.107	-0.146	0.528	-0.785	-0.710	0.286	0.037	0.012	0.020
Putida	PP_1013	PP_1013		Sensor histidine kinase	-0.436	-0.236	-0.268	-0.389	-0.188	0.201	-0.144	-0.048	-0.307	-0.064	-0.561	-0.767	-0.071	0.095	-0.027	-0.152
Putida	PP_1014	PP_1014		aldose-ketose isomerase	-0.018	0.015	0.186	-0.247	0.161	-0.041	0.183	0.043	0.144	0.106	-0.043	-0.167	0.179	-0.074	0.126	-0.022
Putida	PP_1015	PP_1015		mannose/glucose ABC transporter, glucose-binding periplasmic protein	-0.256	-0.055	-0.402	-0.096	0.117	0.255	0.172	0.074	0.306	0.174	-0.905	-0.953	-0.046	-0.262	0.048	-0.037
Putida	PP_1016	PP_1016		mannose/glucose ABC transporter, permease protein	-0.482	-0.391	-0.478	-0.337	-0.006	-0.205	0.052	-0.104	-0.050	-0.111	-0.844	-0.819	-0.144	0.201	0.063	-0.162
Putida	PP_1017	PP_1017		mannose/glucose ABC transporter, permease protein	-0.561	-0.335	-0.554	-0.728	-0.240	-0.097	-0.368	-0.072	-0.168	-0.092	-1.310	-0.815	-0.047	-0.104	-0.053	-0.042
Putida	PP_1018	PP_1018		mannose/glucose ABC transporter - ATP binding subunit	-0.356	-0.389	-0.522	-0.423	0.099	-0.005	0.163	0.090	-0.041	0.017	-0.800	-0.855	-0.043	0.001	0.028	-0.020
Putida	PP_1019	PP_1019		carbohydrate-selective porin	-0.067	0.098	-0.175	-0.110	-0.067	-0.114	-0.149	-0.087	-0.129	-0.162	0.063	0.110	-0.009	0.110	0.030	0.040
Putida	PP_1020	PP_1020		putative glucose-6-phosphate 1-epimerase	-0.299	-0.478	-0.113	-0.277	-0.233	-0.766	-0.050	0.082	-0.308	-0.098	0.670	-0.046	-0.482	-0.666	-0.426	-0.893
Putida	PP_1021	PP_1021		DNA-binding transcriptional regulator	0.033	0.208	0.208	0.166	-1.487	-1.244	-0.863	-1.045	-0.442	-0.735	-0.057	0.058	-0.615	-0.929	-0.552	-0.785
Putida	PP_1022	PP_1022		glucose 6-phosphate-1-dehydrogenase	-3.008	-4.081	-3.163	-3.418	-0.169	-0.313	-0.273	-0.091	0.003	0.057	-4.359	-3.473	0.214	0.053	0.137	-0.289
Putida	PP_1025	PP_1025		2-isopropylmalate synthase	-2.485	-2.609	-2.869	-3.397	-4.117	-4.056	-3.648	-3.718	-2.645	-2.593	-4.193	-4.184	-5.486	-3.765	-5.093	-5.160
Putida	PP_1026	PP_1026		Peptidase, M23/M37 family	0.050	-0.055	-0.350	-0.007	-0.810	-0.217	-0.108	-0.124	-0.448	0.236	0.429	-0.108	0.120	-0.218	-0.021	0.193
Putida	PP_1027	PP_1027		Exodeoxyribonuclease 7 large subunit	-0.174	0.102	0.040	0.038	0.003	-0.166	-0.178	0.072	-0.055	0.227	0.136	0.068	-0.236	0.104	-0.009	-0.192
Putida	PP_1028	PP_1028		Transcriptional regulator, LysR family	0.356	0.070	0.191	0.146	-0.112	0.173	-0.480	0.098	0.335	0.063	0.206	-0.195	-0.135	-0.463	0.050	0.228
Putida	PP_1029	PP_1029		conserved membrane protein of unknown function	0.290	0.192	0.068	0.179	-0.035	-0.134	0.100	0.114	-0.139	-0.147	0.060	-0.105	-0.055	-0.003	0.058	0.046
Putida	PP_1030	PP_1030		conserved protein of unknown function	0.141	-0.059	-0.070	0.057	0.072	0.169	-0.049	-0.052	-0.094	0.034	0.042	-0.027	-0.059	-0.067	-0.153	0.007
Putida	PP_1033	PP_1033		Sulfatase domain protein	0.031	0.133	0.154	0.016	0.184	0.087	0.196	0.015	-0.049	0.003	0.081	0.138	0.058	0.009	0.044	0.048
Putida	PP_1034	PP_1034		multicopper oxidase	-0.010	-0.083	-0.109	-0.015	-0.163	-0.185	-0.252	-0.105	-0.143	0.068	-0.190	-0.166	-0.370	-0.275	-0.539	-0.274
Putida	PP_1036	PP_1036		membrane-bound lytic murein transglycosylase F	-0.266	-0.081	-0.106	-0.274	0.185	-0.009	-0.482	-0.446	-0.075	-0.201	-0.016	-0.025	0.075	0.080	-0.033	-0.004
Putida	PP_1038	PP_1038		conserved protein of unknown function	-0.506	-0.173	-0.777	0.029	-0.411	-0.773	-0.100	-0.213	0.085	-0.013	-0.631	-0.592	-1.127	-0.186	-0.582	-0.399
Putida	PP_1039	PP_1039		sec-independent protein translocase protein	0.131	0.300	-0.014	0.044	0.001	0.043	0.154	-0.219	0.170	0.018	-0.224	0.078	-0.006	-0.146	-0.045	0.034
Putida	PP_1041	PP_1041		twin arginine protein export complex subunit	0.237	0.361	0.373	0.103	-0.129	0.519	0.245	0.625	0.390	-0.292	-0.139	-0.190	0.039	-0.638	0.021	0.312
Putida	PP_1042	PP_1042		Type II secretion system protein K	-0.129	0.016	-0.227	-0.130	-0.025	-0.366	-0.181	-0.213	0.043	-0.060	0.068	0.367	-0.115	0.063	0.490	0.346
Putida	PP_1043	PP_1043		putative phosphatase	-0.043	-0.042	0.029	0.008	-0.082	-0.124	-0.024	-0.044	-0.141	-0.158	-0.009	-0.011	-0.130	-0.118	-0.003	0.046
Putida	PP_1044	PP_1044		Lipoprotein UxpA	-0.146	0.077	-0.306	0.445	-0.287	-0.582	-0.572	0.013	-0.018	-0.029	-0.426	-0.182	0.024	-0.086	0.074	-0.076
Putida	PP_1045	PP_1045		Type II secretion pathway protein XcpP	0.594	-0.893	0.145	-0.375	0.071	0.282	0.405	0.225	0.281	-0.341	0.324	0.173	0.071	0.319	0.463	0.281
Putida	PP_1046	PP_1046		Type II secretion pathway protein XcpQ	0.011	-0.106	-0.008	-0.065	-0.108	-0.138	0.070	-0.123	-0.153	-0.163	-0.021	0.029	0.027	-0.103	0.016	0.006
Putida	PP_1047	PP_1047		putative protein secretion protein for export	-0.135	-0.117	-0.106	0.036	0.045	0.026	-0.008	-0.162	0.023	-0.145	0.005	-0.043	0.100	-0.053	0.125	-0.057
Putida	PP_1048	PP_1048		putative protein secretion protein for export	-0.180	-0.118	0.008	-0.194	0.418	-0.027	-0.287	-0.163	0.203	0.347	0.817	0.359	-0.259	0.597	0.148	0.488
Putida	PP_1049	PP_1049		putative protein secretion protein for export	-0.037	0.139	-0.069	0.107	-0.009	-0.182	0.151	0.285	0.113	0.135	0.023	0.068	-0.132	-0.328	-0.345	-0.108
Putida	PP_1051	PP_1051		Type II secretion pathway protein XcpV	-0.012	-0.007	0.123	0.391	0.013	0.010	0.373	-0.484	0.340	0.055	-0.016	-0.343	-0.626	-0.647	-0.261	-0.584
Putida	PP_1052	PP_1052		Type II secretion pathway protein XcpW	0.033	-0.207	0.159	1.664	0.490	-0.533	-1.516	-0.383	0.721	0.193	0.168	-0.206	0.083	-1.507	-0.191	-0.564
Putida	PP_1053	PP_1053		Type II secretion pathway protein XcpY	-0.240	-0.114	-0.212	0.113	0.107	-0.165	-0.297	-0.234	0.203	-0.191	0.024	0.116	-0.059	-0.031	-0.029	0.050
Putida	PP_1054	PP_1054		Type II secretion pathway protein XcpZ	0.797	0.479	0.615	-0.891	0.010	0.730	0.373	-0.117	0.221	0.605	0.072	0.133	-0.088	-0.057	0.279	-0.589
Putida	PP_1055	PP_1055		Type II secretion pathway protein GspN	-0.577	-0.323	-0.336	-0.434	-0.099	-1.096	-0.163	0.468	0.368	-0.697	0.264	0.432	-0.003	-0.360	0.330	-1.082
Putida	PP_1056	PP_1056		putative Iron-chelator utilization protein	0.213	-0.155	0.256	0.131	0.286	0.135	0.225	0.089	0.137	0.214	-0.048	-0.128	0.061	0.133	0.046	0.275
Putida	PP_1057	PP_1057		Transcriptional regulator, PadR family	0.007	0.101	-0.138	-0.351	-1.237	-0.534	-0.053	-0.705	-0.148	-0.449	0.149	0.114	-0.284	-0.271	-0.124	0.100
Putida	PP_1058	PP_1058		conserved protein of unknown function	0.112	0.029	0.127	0.092	0.057	0.055	0.153	0.096	0.228	0.342	0.121	-0.028	-0.247	-0.283	0.120	0.120
Putida	PP_1059	PP_1059		Uncharacterized amino acid permease YtnA	0.094	-0.164	0.072	0.041	0.093	0.077	-0.100	0.033	-0.013	-0.072	-0.043	0.010	-0.056	0.161	-0.057	-0.115
Putida	PP_1060	PP_1060		putative Glutamate synthase, large subunit	0.106	0.204	0.262	0.138	0.146	0.321	0.032	-0.015	0.206	0.139	-0.042	0.071	0.097	-0.031	0.041	0.163
Putida	PP_1061	PP_1061		putative ATP-dependent DNA helicase lhr	-0.042	0.023	0.032	-0.078	0.048	0.001	-0.011	0.115	-0.028	-0.131	-0.045	-0.018	0.019	-0.085	0.024	0.014
Putida	PP_1062	PP_1062		MutT/nudix family protein	0.318	-0.215	-0.926	-0.154	0.046	0.275	-0.133	0.471	0.214	-0.150	-1.026	-0.306	0.066	-0.058	-0.361	0.047
Putida	PP_1063	PP_1063		DNA-binding transcriptional regulator, homocysteine-binding	-0.027	-0.257	-0.115	-0.371	-0.066	0.110	-0.041	0.153	0.054	0.008	-0.155	-0.169	-0.050	0.012	0.031	0.125
Putida	PP_1064	PP_1064		Hydrolase, alpha/beta fold family	0.028	0.117	0.084	-0.022	0.026	0.013	0.038	0.063	0.019	-0.041	0.144	0.258	0.025	0.134	0.214	0.108
Putida	PP_1065	PP_1065		membrane protein required for efficient alginate biosynthesis	-0.032	0.006	0.072	-0.032	0.124	0.097	-0.032	0.092	0.028	0.031	0.061	-0.001	0.141	0.122	0.006	0.071
Putida	PP_1066	PP_1066		C4-dicarboxylate transport transcriptional regulatory protein	0.067	-0.302	0.166	0.103	0.036	-0.360	-0.213	-0.351	0.160	-0.282	0.052	0.094	0.359	0.172	-0.456	-0.923
Putida	PP_1067	PP_1067		Sensor histidine kinase	0.027	0.239	0.209	0.132	0.100	0.067	-0.085	0.052	0.112	0.122	0.141	0.180	0.555	0.598	-0.273	-0.156
Putida	PP_1068	PP_1068		glutamate / aspartate ABC transporter - ATP binding subunit	0.151	0.050	0.530	0.028	0.124	0.081	-0.093	0.388	0.274	0.236	-0.189	0.042	0.041	-0.094	0.303	-0.044
Putida	PP_1069	PP_1069		glutamate / aspartate ABC transporter - permease subunit	-0.026	-0.053	0.027	-0.278	-0.149	-0.422	-0.196	-0.106	0.041	-0.262	-0.016	-0.065	0.128	-0.038	-0.156	-0.101
Putida	PP_1070	PP_1070		glutamate / aspartate ABC transporter - permease subunit	0.082	0.005	-0.008	0.337	-0.616	-0.242	-0.024	-0.300	0.062	0.049	0.083	-0.243	-0.287	-0.297	-0.185	-0.072
Putida	PP_1071	PP_1071		glutamate / aspartate ABC transporter - periplasmic binding protein	-0.116	-0.047	-0.286	0.147	-0.070	-0.429	0.132	-0.246	-0.141	-0.200	-0.022	0.082	0.178	0.047	-0.040	-0.217
Putida	PP_1072	PP_1072		Leucine-rich repeat domain protein	0.016	0.083	0.072	0.082	0.000	0.102	-0.042	-0.018	-0.064	-0.049	-0.013	-0.002	0.042	-0.014	0.133	0.111
Putida	PP_1074	PP_1074		DNA-binding transcriptional repressor - GlpR-glycerol-3-phosphate	-0.017	0.137	0.489	-0.011	0.545	0.932	0.559	0.339	-0.020	0.034	0.274	0.054	0.229	0.221	0.248	0.026
Putida	PP_1075	PP_1075		glycerol kinase	0.176	0.118	0.205	0.193	0.270	0.103	0.239	0.334	0.102	0.096	-0.386	-0.473	-2.449	-2.228	-1.055	-0.763
Putida	PP_1076	PP_1076		aquaglyceroporin	0.316	0.162	0.419	0.247	0.360	0.484	0.395	0.302	0.204	0.217	-0.345	-0.446	-1.753	-1.673	-0.737	-0.770
Putida	PP_1077	PP_1077		Cys-tRNAPro deacylase	-0.032	0.208	0.150	-0.038	0.084	0.273	-0.254	-0.040	-0.189	-0.176	0.027	-0.020	0.142	0.014	-0.029	0.274
Putida	PP_1078	PP_1078		putative ABC transporter, ATP-binding protein	0.038	0.163	-0.049	0.035	0.022	-0.314	-0.056	0.019	0.059	-0.074	0.062	0.223	-0.002	0.203	-0.017	0.266
Putida	PP_1079	PP_1079		Ornithine carbamoyltransferase	-4.669	-4.558	-5.756	-5.598	-3.959	-2.258	-4.317	-4.732	-3.805	-3.219	-4.306	-5.043	-4.272	-3.641	-4.329	-4.264
Putida	PP_1080	PP_1080		putative oxidoreductase molybdopterin-binding	0.237	0.138	0.097	0.209	0.413	0.252	0.145	0.209	0.251	0.195	-0.104	0.149	0.093	0.175	0.141	0.216
Putida	PP_1082	PP_1082		bacterioferritin	-0.583	-0.388	-0.355	-0.118	-0.215	-0.132	-0.451	-0.334	-0.261	-0.361	-0.240	-0.182	0.272	0.171	-0.018	-0.097
Putida	PP_1083	PP_1083		(2Fe-2S)-binding protein	0.064	-0.052	-0.506	0.000	0.244	-0.045	0.159	0.298	-0.245	0.378	0.016	-0.233	-0.328	-0.243	-0.913	-0.348
Putida	PP_1084	PP_1084		putative peroxiredoxin	-0.350	-0.341	-0.077	-0.191	-0.681	-0.399	-0.345	-0.120	-0.409	0.092	-0.029	-0.048	-0.467	-0.168	0.223	-0.029
Putida	PP_1087	PP_1087		Outer membrane protein, OmpA family	-0.218	0.226	0.132	-0.001	0.297	0.131	0.096	0.212	0.174	0.255	0.121	0.127	0.459	0.242	0.139	0.240
Putida	PP_1088	PP_1088		Argininosuccinate synthase	-5.160	-5.071	-5.143	-5.048	-4.702	-4.370	-4.436	-5.397	-3.982	-3.596	-5.861	-5.086	-6.265	-4.425	-5.390	-5.386
Putida	PP_1089	PP_1089		conserved protein of unknown function	-0.114	-0.222	0.214	0.457	-0.088	0.261	0.128	0.078	0.088	0.161	0.150	0.132	0.088	-0.177	0.032	-0.124
Putida	PP_1090	PP_1090		putative Virulence factors positive transcription regulator BvgA	0.259	0.165	0.145	0.210	0.054	0.204	-0.011	0.082	0.304	0.183	-0.086	0.157	-0.008	0.086	0.018	-0.013
Putida	PP_1092	PP_1092		DNA glycosylase/apyrimidinic (AP) lyase specific for damaged pyrimidinic sites	-0.202	-0.066	0.052	-0.110	0.064	-0.300	-0.140	-0.049	-0.118	-0.036	-0.023	-0.091	0.035	0.012	0.098	0.021
Putida	PP_1093	PP_1093		putative electron transport complex protein	-0.262	-0.175	-0.111	0.025	-0.278	0.078	-0.301	-0.165	-0.411	-0.447	0.095	-0.206	-0.147	-0.095	0.034	-0.004
Putida	PP_1094	PP_1094		putative electron transport complex protein	-0.148	0.083	0.004	-0.103	-0.035	0.040	0.007	-0.069	0.127	0.008	-0.163	-0.095	-0.114	-0.124	-0.069	-0.068
Putida	PP_1095	PP_1095		putative electron transport complex protein	0.053	0.007	0.056	0.018	0.101	0.091	-0.180	0.066	-0.069	0.017	0.030	-0.032	0.057	0.225	0.313	0.159
Putida	PP_1096	PP_1096		putative electron transport complex protein	0.248	0.794	0.560	0.730	0.333	0.567	0.467	0.694	0.074	0.627	0.025	-0.301	0.092	-0.781	0.276	0.328
Putida	PP_1097	PP_1097		Methionine--tRNA ligase	-0.963	-0.922	-0.570	0.169	-1.660	-1.051	-0.664	-0.146	-0.362	-0.888	0.116	-0.894	-0.014	-0.315	-0.850	-0.365
Putida	PP_1099	PP_1099		Cold shock protein CapB	-0.271	-0.339	-0.327	-0.390	0.001	-0.095	0.224	-0.373	-0.194	-0.654	0.230	0.773	0.138	0.022	0.325	-0.150
Putida	PP_1102	PP_1102		conserved protein of unknown function	-0.177	0.270	0.045	0.061	0.126	-0.169	0.006	0.040	0.070	0.037	0.149	0.394	0.060	0.076	0.556	0.298
Putida	PP_1103	PP_1103		ATP-dependent helicase, DEAD box family	-0.123	-0.009	0.056	-0.067	-0.067	0.031	0.170	-0.103	0.046	0.002	0.154	0.054	0.115	-0.021	0.060	0.020
Putida	PP_1104	PP_1104		AotO-related protein	-0.280	-0.195	-0.169	-0.164	0.278	0.230	-0.146	-0.156	-0.261	-0.220	0.197	0.062	0.264	0.106	0.107	0.104
Putida	PP_1105	PP_1105		putative DNA ligase, ATP-dependent	0.047	0.278	0.218	0.228	0.042	0.018	0.149	0.151	0.186	0.217	-0.032	0.084	-0.135	0.095	0.013	-0.044
Putida	PP_1106	PP_1106		conserved protein of unknown function	0.069	-0.091	0.013	-0.159	0.172	0.020	-0.073	0.121	0.010	0.043	-0.158	0.076	-0.032	-0.135	-0.057	0.072
Putida	PP_1108	PP_1108		Acyl-homoserine lactone acylase QuiP	-0.029	0.069	0.036	-0.095	-0.123	-0.200	0.031	-0.222	-0.200	-0.175	0.213	0.104	-0.058	0.174	0.159	0.011
Putida	PP_1109	PP_1109		Transcriptional regulator, GntR family	-0.001	-0.158	-0.121	-0.022	-0.004	0.367	0.942	0.947	0.872	0.841	-2.367	-2.552	0.920	0.826	0.453	0.500
Putida	PP_1110	PP_1110		serine acetyltransferase	-0.132	-0.110	0.228	-0.113	-0.464	0.530	0.933	1.024	0.448	0.339	-2.428	-2.431	0.347	0.247	0.233	0.484
Putida	PP_1111	PP_1111		putative Synthetase	-0.429	-0.344	-0.225	-0.258	-0.080	0.418	0.454	0.573	0.311	0.457	-2.616	-2.283	0.856	0.391	0.383	0.315
Putida	PP_1112	PP_1112		conserved membrane protein of unknown function	0.059	0.139	0.171	0.077	-0.311	0.182	0.895	0.933	0.730	0.719	0.133	0.030	0.831	0.621	0.382	0.404
Putida	PP_1113	PP_1113		Pyridoxal-phosphate dependent enzyme family protein	0.705	0.777	0.697	0.699	0.246	0.553	1.724	1.676	1.494	1.502	0.638	0.533	0.926	0.632	0.583	0.545
Putida	PP_1114	PP_1114		SEC-C domain protein	0.218	0.445	0.320	-0.114	-0.123	0.359	0.622	0.067	0.091	0.264	-0.123	-0.059	0.183	0.132	0.189	0.088
Putida	PP_1115	PP_1115		putative Lipoprotein	0.315	0.008	0.234	0.001	0.102	0.147	0.189	-0.177	0.158	0.058	0.147	0.034	0.065	0.255	0.056	0.125
Putida	PP_1116	PP_1116		Site-specific recombinase, resolvase family	0.192	-0.124	-0.189	0.120	-0.090	0.303	-0.022	0.048	-0.244	-0.106	0.344	0.138	0.332	0.391	0.414	0.108
Putida	PP_1117	PP_1117		conserved protein of unknown function	0.143	0.044	0.141	0.135	0.319	0.046	0.047	0.110	-0.013	0.156	0.006	-0.134	0.152	0.156	0.215	0.053
Putida	PP_1118	PP_1118		Recombinase-related protein	0.058	0.042	0.102	-0.029	0.150	0.116	-0.013	0.041	0.036	-0.081	0.013	0.094	0.017	0.096	0.110	0.126
Putida	PP_1119	PP_1119		conserved protein of unknown function	0.020	-0.374	-0.070	-0.050	0.603	0.634	0.020	-0.327	-0.138	-0.243	-0.131	-0.066	0.040	-0.026	-0.192	-0.016
Putida	PP_1120	PP_1120		conserved protein of unknown function	-0.012	0.058	0.066	0.090	0.242	0.200	0.070	0.057	-0.081	-0.251	-0.036	0.170	0.163	0.064	-0.018	0.164
Putida	PP_1121	PP_1121		OmpA family protein	-0.088	0.023	-0.191	0.021	0.366	-0.056	-0.008	0.043	0.004	0.123	-0.099	-0.094	0.061	0.037	-0.247	-0.031
Putida	PP_1122	PP_1122		OmpA family protein	0.191	0.398	0.647	0.188	0.467	0.366	0.540	-0.059	0.159	-0.581	0.025	0.176	-0.242	0.088	-0.266	-0.157
Putida	PP_1124	PP_1124		conserved membrane protein of unknown function	0.411	0.169	0.107	-0.018	0.258	0.509	0.364	0.374	0.551	0.081	-0.139	0.001	-0.201	0.083	0.050	-0.055
Putida	PP_1125	PP_1125		putative Helicase	-0.062	0.008	-0.088	-0.006	-0.158	0.067	-0.151	-0.111	-0.136	-0.039	-0.044	0.082	-0.311	-0.151	0.088	0.011
Putida	PP_1126	PP_1126		putative Hydrolase	0.061	-0.029	0.041	0.132	0.072	0.181	0.013	0.122	0.160	-0.124	-0.091	-0.041	-0.702	-0.669	0.047	0.095
Putida	PP_1127	PP_1127		Carboxylesterase	-0.174	-0.122	-0.417	-0.169	-0.407	-0.186	0.001	-0.292	-0.279	-0.232	0.095	-0.056	0.023	0.034	0.069	-0.060
Putida	PP_1128	PP_1128		OmpA family protein	-1.037	-0.816	-0.816	-0.727	-0.058	-0.134	-0.545	-0.279	-0.737	-0.541	-0.512	-0.386	-0.830	-0.405	-0.488	-0.722
Putida	PP_1130	PP_1130		conserved protein of unknown function	-0.123	-0.204	-0.306	-0.345	-0.190	-0.051	-0.394	-0.146	-0.193	-0.324	0.183	0.033	-0.008	-0.162	0.277	0.056
Putida	PP_1131	PP_1131		outer membrane lipoprotein	-0.200	0.062	0.035	0.045	-0.499	-0.186	0.210	0.525	0.004	-0.405	-0.326	0.310	0.081	0.228	0.026	0.213
Putida	PP_1132	PP_1132		Na(+)/H(+) antiporter NhaA 1	-0.226	-0.264	-0.217	-0.152	-0.204	-0.118	-0.241	-0.108	-0.056	-0.247	0.102	-0.008	0.050	-0.018	0.318	-0.020
Putida	PP_1134	PP_1134		conserved protein of unknown function	-0.094	-0.169	-0.131	-0.132	-0.138	-0.156	-0.062	-0.057	-0.074	-0.104	0.147	0.128	0.083	-0.022	0.124	-0.018
Putida	PP_1135	PP_1135		conserved exported protein of unknown function	-0.164	0.227	-0.290	0.212	-0.117	0.052	-0.095	-0.087	-0.053	-0.076	0.017	0.037	0.140	-0.023	-0.013	0.034
Putida	PP_1136	PP_1136		conserved protein of unknown function	0.114	0.079	0.126	0.140	0.051	0.146	0.051	0.132	-0.153	-0.006	0.027	-0.027	-0.072	0.021	0.025	0.096
Putida	PP_1137	PP_1137		high-affinity branched-chain amino acid transporter, ATP binding	0.157	0.039	0.140	0.134	-0.609	-0.122	0.281	0.120	0.280	0.216	0.362	0.134	0.158	0.321	-0.094	-0.100
Putida	PP_1138	PP_1138		branched chain amino acid transporter - ATP binding subunit	-0.228	-0.615	-0.601	-0.834	-0.803	-0.036	0.295	0.190	-0.244	-0.129	-0.011	-0.157	0.053	0.223	-0.053	-0.114
Putida	PP_1139	PP_1139		branched chain amino acid transporter - permease subunit	0.028	-0.076	0.011	-0.091	-0.665	-0.191	0.355	0.453	0.345	0.239	0.181	0.119	0.325	0.180	-0.008	-0.084
Putida	PP_1140	PP_1140		branched chain amino acid transporter - permease subunit	-0.058	0.068	0.061	0.073	-0.685	-0.256	0.481	0.509	0.154	0.368	0.139	0.080	0.370	0.254	0.205	-0.049
Putida	PP_1141	PP_1141		branched-chain amino acids ABC transporter - periplasmic leucine binding subunit	0.068	-0.194	0.117	-0.048	-0.637	-0.077	0.365	0.330	0.240	0.091	0.169	-0.029	0.222	0.040	0.154	0.067
Putida	PP_1142	PP_1142		conserved protein of unknown function	-0.536	0.315	0.716	0.028	0.691	0.065	-0.846	-1.343	0.547	0.352	-0.157	-1.070	-0.548	-0.057	-1.311	-1.269
Putida	PP_1143	PP_1143		3-hydroxyisobutyrate dehydrogenase family protein	-0.037	0.333	0.274	0.036	0.321	0.073	0.245	-0.208	-0.172	0.147	0.227	0.186	0.300	-0.062	-0.107	0.079
Putida	PP_1144	PP_1144		conserved membrane protein of unknown function	0.199	0.070	0.086	0.118	0.083	0.016	0.037	0.073	0.175	-0.020	0.003	0.071	0.076	0.272	0.151	0.093
Putida	PP_1145	PP_1145		RNA polymerase-associated protein RapA	0.144	0.059	-0.052	0.020	-0.883	-0.773	0.237	0.287	0.128	0.198	0.020	0.083	-0.023	0.051	0.063	0.179
Putida	PP_1146	PP_1146		conserved exported protein of unknown function	-0.148	0.160	0.045	0.147	0.040	-0.015	0.005	-0.085	-0.090	0.008	0.056	0.126	0.240	0.241	-0.003	0.227
Putida	PP_1147	PP_1147		conserved protein of unknown function	-0.060	0.225	-0.518	-0.090	-0.201	-0.936	-0.101	-0.134	-0.602	-0.111	-0.004	-0.368	-0.449	-0.344	-0.243	-0.618
Putida	PP_1150	PP_1150		putative Membrane protein	0.184	-0.173	-0.063	-0.160	-0.088	-0.078	0.097	-0.261	-0.391	-0.174	-0.220	0.033	0.399	0.391	0.117	0.149
Putida	PP_1151	PP_1151		conserved protein of unknown function	-0.130	0.000	-0.010	-0.371	-0.310	0.033	-0.234	0.016	-0.219	0.017	0.134	-0.118	0.161	-0.021	0.103	0.035
Putida	PP_1152	PP_1152		putative membrane fusion efflux protein	0.099	0.056	0.131	0.104	-0.223	-0.008	0.108	0.247	-0.171	-0.169	-0.048	0.103	0.173	0.033	0.180	0.103
Putida	PP_1153	PP_1153		putative lipoprotein	-0.134	-0.578	-0.558	0.327	0.010	-0.026	-0.343	-0.031	0.059	-0.028	0.007	0.455	-0.121	-0.222	-0.032	0.349
Putida	PP_1154	PP_1154		Sensory box protein	0.008	0.059	0.060	-0.105	-0.060	-0.037	-0.098	-0.057	-0.182	-0.375	-0.131	0.047	0.108	0.128	0.202	0.166
Putida	PP_1155	PP_1155		YaiC/YhcK/ArdA family protein	0.087	-0.007	0.027	0.030	-0.084	-0.198	-0.051	-0.003	0.111	-0.044	0.200	0.203	0.339	0.384	0.109	0.021
Putida	PP_1156	PP_1156		putative inner membrane protein	0.102	0.103	-0.006	-0.040	0.049	-0.009	0.013	0.166	-0.073	-0.070	0.303	0.215	0.199	0.282	0.272	0.063
Putida	PP_1159	PP_1159		conserved membrane protein of unknown function	-0.000	0.166	-0.009	0.104	0.022	0.116	-0.009	0.204	-0.020	-0.178	0.044	-0.065	0.074	-0.023	0.203	0.175
Putida	PP_1160	PP_1160		Asparaginase family protein	0.059	0.108	0.185	0.037	0.230	0.085	0.252	-0.033	-0.073	-0.065	0.278	0.088	0.114	0.022	0.187	0.234
Putida	PP_1161	PP_1161		putative Lipoprotein	0.067	-0.199	-0.081	0.048	-0.233	0.037	-0.070	0.112	0.024	-0.291	0.023	-0.171	0.272	0.192	-0.063	-0.028
Putida	PP_1162	PP_1162		Protein GstA	-0.129	-0.105	-0.203	0.107	-0.006	-0.061	-0.158	-0.022	-0.104	0.043	0.218	-0.053	0.250	0.231	0.057	0.180
Putida	PP_1163	PP_1163		Oxidoreductase, FAD-binding	0.231	0.198	0.139	0.111	0.072	0.230	0.147	0.134	0.126	-0.013	0.054	0.132	0.135	-0.149	0.251	0.030
Putida	PP_1164	PP_1164		Transcriptional regulator, LysR family	0.273	0.097	-0.447	0.033	0.348	-0.090	0.268	0.501	-0.034	-0.014	0.305	0.392	0.239	0.364	-0.057	-0.009
Putida	PP_1165	PP_1165		conserved protein of unknown function	-0.052	0.111	-0.036	0.107	0.055	0.015	0.147	-0.180	0.054	0.018	0.215	-0.031	0.037	0.121	0.050	0.171
Putida	PP_1166	PP_1166		putative permease of the drug/metabolite transporter (DMT) superfamily	-0.127	-0.073	-0.302	-0.011	0.113	0.029	-0.172	-0.274	0.199	-0.268	0.090	-0.017	-0.126	0.151	-0.174	0.187
